#Sun Oct 30 08:26:39 2022
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
              68          -107.2           45.97
              69          -34.33           29.79
              70           24.11           39.43
              71            -106            50.5
              72          -102.9            42.1
              73          -95.56           40.88
              74           37.59            72.2
              75          -96.22           46.23
              76          -125.8           33.92
              77          -66.67           42.41
              78          -71.11           48.63
              79          -56.22           51.08
              80             -87           41.02
              81          -64.67           43.81
              82             -11           67.03
              83          -109.3           27.82
              84          -92.22           42.44
              85          -37.56           44.85
              86           32.88           58.76
              87          -82.56           43.85
              88            -137           36.16
              89          -100.2           38.21
              90          -88.22           43.94
              91          -107.4           51.28
              92          -147.6           42.17
              93             -72           47.65
              94          -71.11           48.62
              95             -30           60.48
              96          -81.44            38.3
              97          -60.56           30.39
              98           50.67           59.36
              99          -167.4           40.02
             100          -90.11           37.91
             101          -68.33           36.36
             102           11.71           62.34
             103          -81.56           38.68
             104          -138.8           32.09
             105          -87.44           36.62
             106             -90           49.36
             107          -113.6           53.76
             108          -158.8           39.79
             109          -96.89           47.76
             110          -79.89           49.13
             111          -32.25           65.95
             112             -85           45.38
             113          -46.44           29.14
             114          -50.89           29.29
             115          -171.6           41.37
             116          -90.33           45.69
             117          -83.56           37.36
             118          -8.571           65.88
             119          -76.44           42.15
             120          -101.2           34.79
             121             -63           42.72
             122          -91.33           49.77
             123          -100.2           60.82
             124          -129.6           40.93
             125          -58.89           32.27
             126          -78.44           41.24
             127          -51.25           58.24
APV               20              11               7               5
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7               0               0
               8               0               0
               9               0               0
              10               0               0
              11               0               0
              12               0               0
              13               0               0
              14               0               0
              15               0               0
              16               0               0
              17               0               0
              18               0               0
              19               0               0
              20               0               0
              21               0               0
              22               0               0
              23               0               0
              24               0               0
              25               0               0
              26               0               0
              27               0               0
              28               0               0
              29               0               0
              30               0               0
              31               0               0
              32               0               0
              33               0               0
              34               0               0
              35               0               0
              36               0               0
              37               0               0
              38               0               0
              39               0               0
              40               0               0
              41               0               0
              42               0               0
              43               0               0
              44               0               0
              45               0               0
              46               0               0
              47               0               0
              48               0               0
              49               0               0
              50               0               0
              51               0               0
              52               0               0
              53               0               0
              54               0               0
              55               0               0
              56               0               0
              57               0               0
              58               0               0
              59               0               0
              60               0               0
              61               0               0
              62               0               0
              63               0               0
              64               0               0
              65               0               0
              66               0               0
              67               0               0
              68               0               0
              69               0               0
              70               0               0
              71               0               0
              72               0               0
              73               0               0
              74               0               0
              75               0               0
              76               0               0
              77               0               0
              78               0               0
              79               0               0
              80               0               0
              81               0               0
              82               0               0
              83               0               0
              84               0               0
              85               0               0
              86               0               0
              87               0               0
              88               0               0
              89               0               0
              90               0               0
              91               0               0
              92               0               0
              93               0               0
              94               0               0
              95               0               0
              96               0               0
              97               0               0
              98               0               0
              99               0               0
             100               0               0
             101               0               0
             102               0               0
             103               0               0
             104               0               0
             105               0               0
             106               0               0
             107               0               0
             108               0               0
             109               0               0
             110               0               0
             111               0               0
             112               0               0
             113               0               0
             114               0               0
             115               0               0
             116               0               0
             117               0               0
             118               0               0
             119               0               0
             120               0               0
             121               0               0
             122               0               0
             123               0               0
             124               0               0
             125               0               0
             126               0               0
             127               0               0
APV               20              11               7               6
               0           -48.7           52.78
               1          -31.93            52.7
               2          -101.1           57.28
               3          -73.75           61.34
               4          -62.35           47.47
               5          -46.52           51.33
               6          -75.21           51.36
               7          -54.85           51.36
               8          -43.13           46.26
               9          -17.19           52.79
              10          -62.41           61.46
              11          -53.41           70.52
              12          -59.15           43.47
              13          -69.24           45.98
              14          -90.51           64.25
